Target,Function Target,Number of Alpha Carbons in Target,Reference,Function Reference,Number of Alpha Carbons in Reference,Distance
6XI4,,400,1KJZ,TRANSLATION,408,0.6884396994906414
7VNH,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",225,0.6884594562523174
7YBX,,285,2R3K,TRANSFERASE,300,0.6886298909036432
7E1T,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,403,0.6890172552605306
6UPR,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,543,0.6892059347869721
3N9O,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,495,0.68952524423581
8AK2,,292,2C6I,TRANSFERASE,294,0.6899505541912511
6VNV,,296,5MHQ,CELL CYCLE/INHIBITOR,274,0.6899624798144725
8AK3,,285,2R3K,TRANSFERASE,298,0.690104453278483
6UPR,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,543,0.6905510303781064
7SVB,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,555,0.6905981390277744
5SGM,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,315,0.6910186815361521
6WSJ,,424,4RJL,TRANSLATION,358,0.6911432624429522
6VNV,,303,7ZPC,CELL CYCLE,274,0.6913939586915397
6Y6E,,198,4LOF,APOPTOSIS,238,0.6914673461647576
8IIZ,,535,4EDW,IMMUNE SYSTEM,525,0.6918256548053344
8UQB,,457,7G8E,CYTOSOLIC PROTEIN,408,0.6923467371715425
7R5F,,285,2R3K,TRANSFERASE,301,0.6923711251774647
8AK2,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.6924609382163692
7KHG,,316,1CIP,HYDROLASE,329,0.6928575155939912
7BJO,,282,1KE8,TRANSFERASE,257,0.6928951385688813
8AK2,,282,1KE8,TRANSFERASE,294,0.6931450583621526
8D6F,,483,5VBZ,HYDROLASE,542,0.6931552740458025
6VNV,,292,2C6I,TRANSFERASE,274,0.6933320659904288
8DHH,,400,1KJZ,TRANSLATION,367,0.6936118836432529
6ELK,,356,5QQM,HYDROLASE/TRANSFERASE,392,0.693616314381977
6PGW,,411,6SI1,DNA BINDING PROTEIN,427,0.6942816786660735
7Y9C,,611,4GNL,LYASE,562,0.6944586598119389
7Y9C,,643,4YW9,LYASE,562,0.694563698251421
7KVX,,162,1P2T,SIGNALING PROTEIN,181,0.6947348393666488
8DKT,,483,5VBZ,HYDROLASE,526,0.6953435996097809
6S7F,,535,4EDW,IMMUNE SYSTEM,523,0.6955155845692582
8F1X,,282,1KE8,TRANSFERASE,318,0.695615726862429
7PO9,,183,1ZNY,TRANSFERASE,172,0.6956801003109412
7JO7,,427,4IBY,DNA BINDING PROTEIN,367,0.6959752965975783
8X72,,279,1GII,TRANSFERASE,294,0.6960468493417749
7MIC,,250,7VV8,CELL CYCLE,220,0.6966397441286002
6XTZ,,457,7G8E,CYTOSOLIC PROTEIN,425,0.6967362282675029
6S7X,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,332,0.6974001048063636
7WCW,,285,2R3K,TRANSFERASE,300,0.6974897740116192
6LTK,,182,3RZV,HYDROLASE,208,0.6975613796924149
7XHK,,316,1CIP,HYDROLASE,334,0.697752094563223
5SGM,,329,8JCA,PROTEIN BINDING,315,0.6980543102930453
7O2R,,424,4RJL,TRANSLATION,357,0.6980968660195915
8AK3,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,298,0.6983394939237617
6VNV,,282,1KE8,TRANSFERASE,274,0.698656620542346
6TWA,,535,4EDW,IMMUNE SYSTEM,522,0.6989651827185759
8DKT,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,526,0.6990012351894254
1D4X,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,492,0.6991084832254152
7WCW,,303,7ZPC,CELL CYCLE,300,0.6991909101395593
8D6F,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,542,0.699594994451081
8AK3,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,298,0.699675175755473
8BOK,,292,7UG1,CELL CYCLE,282,0.699692087426176
6ELK,,356,5QQL,HYDROLASE/TRANSFERASE,392,0.6997294855429697
6S7X,,316,1CIP,HYDROLASE,332,0.6999987060081616
8F1X,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,318,0.7002755628049443
8X72,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7004838636951632
8X72,,292,2C6I,TRANSFERASE,294,0.7007144933352828
7E1T,,424,4RJL,TRANSLATION,403,0.7008551602382711
7JW6,,250,7VV8,CELL CYCLE,231,0.7016723249237026
6VNV,,279,1GII,TRANSFERASE,274,0.7017447098967864
8X72,,292,7UG1,CELL CYCLE,294,0.7019781124871035
3K6J,,457,7G8E,CYTOSOLIC PROTEIN,431,0.7028104261559628
7ULU,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,550,0.7029029918253376
8X72,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7036757360803089
8D6F,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,542,0.7044773452938229
6TFW,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,530,0.7044959979518525
7WCW,,296,5MHQ,CELL CYCLE/INHIBITOR,300,0.7053305866317083
7BJO,,279,1GII,TRANSFERASE,257,0.7053614867137947
7MQY,,427,4IBY,DNA BINDING PROTEIN,370,0.7054139681073787
6LPH,,250,7VV8,CELL CYCLE,272,0.7056165670970563
7JL7,,535,4EDW,IMMUNE SYSTEM,479,0.7058342677615178
8BOK,,296,5MHQ,CELL CYCLE/INHIBITOR,282,0.7058932437564899
6UPR,,611,4GNL,LYASE,543,0.7066100196014604
1D4X,,535,4EDW,IMMUNE SYSTEM,492,0.7072650703020692
8X72,,298,1YKR,TRANSFERASE,294,0.7074347212052289
7R5F,,292,7UG1,CELL CYCLE,301,0.7076712531926106
8X72,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7083787435940375
8BOK,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,282,0.708439588214444
6VNV,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,274,0.7087812489893216
7YBX,,303,7ZPC,CELL CYCLE,300,0.7090006650281108
6O5Z,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,531,0.7097460203030025
7KHG,,303,7ZPC,CELL CYCLE,329,0.7097478868195791
8AK3,,282,1KE8,TRANSFERASE,298,0.7106067895290771
7UAD,,285,2R3K,TRANSFERASE,277,0.7107504218689217
7BJO,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,257,0.7107856032052083
3N9Q,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,496,0.7107994096647101
7YBX,,296,5MHQ,CELL CYCLE/INHIBITOR,300,0.7110025717725877
7UVE,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",236,0.7111420395894914
6GWQ,,424,4RJL,TRANSLATION,475,0.7111812741893538
7XHK,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,334,0.7112872788632261
8AK2,,298,1YKR,TRANSFERASE,294,0.7113575188880247
7YBX,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,300,0.7115476113771524
6LTK,,182,1SVI,HYDROLASE,208,0.7115852165463512
8AK2,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7123390251196631
8BOK,,282,1KE8,TRANSFERASE,282,0.7125691849503523
7KHG,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,329,0.7131091723767848
8SWE,,643,4YW9,LYASE,574,0.713152550948751
8F1X,,285,2R3K,TRANSFERASE,318,0.7133937546026818
7R5F,,292,2C6I,TRANSFERASE,301,0.714516594410542
7KHG,,292,2C6I,TRANSFERASE,329,0.714604967439626
6ZW1,,400,1KJZ,TRANSLATION,380,0.7150349681953483
8AK3,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,298,0.7160947314769587
7Y9C,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,562,0.7161494565931655
8AK2,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7165854601521477
8OMK,,743,4TMX,TRANSLATION,600,0.71738828456243
6UPR,,643,4YW9,LYASE,543,0.7175218095586512
8AK2,,279,1GII,TRANSFERASE,294,0.7182577545173783
7SVB,,643,4YW9,LYASE,555,0.718262041621541
7WCW,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,300,0.7183064731375457
8FDX,,246,2H2D,HYDROLASE,202,0.7183419807210043
8DKT,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,526,0.7190629804787613
3N9P,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,501,0.7200865346213975
7KVX,,168,3RSO,SIGNALING PROTEIN,181,0.720608646659525
7KVX,,161,4L9S,SIGNALING PROTEIN,181,0.7206693150923753
6WYP,,400,1KJZ,TRANSLATION,358,0.7208804970900493
6GWQ,,400,1KJZ,TRANSLATION,475,0.7212831242769707
8HTC,,282,1KE8,TRANSFERASE,290,0.7212925513837843
8HTC,,285,2R3K,TRANSFERASE,290,0.7214121654349427
8BOK,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,282,0.7214348827355671
8G8O,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,558,0.7215588937347955
6TWA,,483,5VBZ,HYDROLASE,522,0.7216127272533969
7ULU,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,550,0.7218095714584223
7XHK,,303,7ZPC,CELL CYCLE,334,0.7218406839425899
8HTC,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,290,0.721868620984041
7Q4I,,611,4GNL,LYASE,569,0.7220858109848945
8FDY,,246,2H2D,HYDROLASE,201,0.722109819370583
8UQB,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,408,0.722141172931475
3K6J,,483,5VBZ,HYDROLASE,431,0.7224573587389852
8AK2,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7225447424740223
6S7F,,483,5VBZ,HYDROLASE,523,0.7227957774510555
7YBX,,292,2C6I,TRANSFERASE,300,0.7233095038520022
7ZHH,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",222,0.7240584837440186
8OMK,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,600,0.7241527750399027
6THV,,400,1KJZ,TRANSLATION,381,0.7244009036869659
7SVB,,611,4GNL,LYASE,555,0.7244457837898153
8F1X,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,318,0.7244829500277816
6TWA,,611,4GNL,LYASE,522,0.7244931452900946
8SWE,,612,6IYB,TRANSPORT PROTEIN,574,0.7245221764478019
8BOK,,279,1GII,TRANSFERASE,282,0.7245900062315831
6LTK,,198,4LOF,APOPTOSIS,208,0.7248213672485606
8AK2,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,294,0.7249428626590183
8SO1,,457,7G8E,CYTOSOLIC PROTEIN,470,0.725057589268934
7WCW,,292,2C6I,TRANSFERASE,300,0.7250589234841307
7UAD,,292,7UG1,CELL CYCLE,277,0.7259898223056788
6VNV,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,274,0.7260838876378921
7WCW,,282,1KE8,TRANSFERASE,300,0.7261422401756156
8BJK,,400,1KJZ,TRANSLATION,366,0.7262273099027886
7E1T,,356,5QQM,HYDROLASE/TRANSFERASE,403,0.7262670884661783
8OMK,,611,4GNL,LYASE,600,0.7265310120253872
7DAZ,,457,7G8E,CYTOSOLIC PROTEIN,457,0.7266508581078164
7E1T,,400,1KJZ,TRANSLATION,403,0.7268477556895534
8OMK,,612,6IYB,TRANSPORT PROTEIN,600,0.7269574308291341
7YBX,,282,1KE8,TRANSFERASE,300,0.7272644950942653
8OIJ,,457,7G8E,CYTOSOLIC PROTEIN,350,0.7273118845317541
8SO1,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,470,0.7274823359192676
7CUY,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,307,0.7275014360088937
8OMK,,643,4YW9,LYASE,600,0.7275087246822792
6PGW,,308,6RVN,CELL CYCLE,427,0.7276578405299629
7YBX,,298,1YKR,TRANSFERASE,300,0.7277483376403096
6Y20,,399,4DHE,CELL CYCLE,495,0.7279630583453036
8AK2,,316,1CIP,HYDROLASE,294,0.7282335198938756
6S7Y,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,320,0.7284338283899822
8SWE,,611,4GNL,LYASE,574,0.7287109827871241
6Y6E,,182,3RZV,HYDROLASE,238,0.7287221003712938
7TGQ,,182,3RZV,HYDROLASE,182,0.7288618415806613
7XHK,,292,7UG1,CELL CYCLE,334,0.7293185121196771
8PBR,,400,1KJZ,TRANSLATION,370,0.7295034516417161
7R5F,,298,1YKR,TRANSFERASE,301,0.7295077341610459
6VNV,,298,1YKR,TRANSFERASE,274,0.7296060996164803
8BOK,,292,2C6I,TRANSFERASE,282,0.7297336132280522
7E1T,,356,5QQL,HYDROLASE/TRANSFERASE,403,0.7298130215793942
7XHK,,296,5MHQ,CELL CYCLE/INHIBITOR,334,0.7298251368413081
1D4X,,424,4RJL,TRANSLATION,492,0.7298987964348688
6S7F,,611,4GNL,LYASE,523,0.7299997199985813
7XHK,,427,4IBY,DNA BINDING PROTEIN,334,0.7300921715851809
8AK3,,316,1CIP,HYDROLASE,298,0.7304376664986515
7NYQ,,535,4EDW,IMMUNE SYSTEM,566,0.7305127665059283
7KHG,,296,5MHQ,CELL CYCLE/INHIBITOR,329,0.7307954023783645
8AK2,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7308889041568353
4IRR,,670,3ZYC,HYDROLASE,589,0.7309814792349338
7KHG,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,329,0.7311006328396649
8F1X,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,318,0.7313306003498172
7UVE,,250,7VV8,CELL CYCLE,236,0.731497646323074
7XHK,,292,2C6I,TRANSFERASE,334,0.73165757092802
7CIU,,400,1KJZ,TRANSLATION,415,0.7316842350129998
8OMK,,684,8STM,ONCOPROTEIN,600,0.7318064836970888
7UAD,,303,7ZPC,CELL CYCLE,277,0.731957393015477
6GWQ,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,475,0.7324876690453567
8AK3,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,298,0.7325221395148891
8PBR,,427,4IBY,DNA BINDING PROTEIN,370,0.7329156036005711
7WCW,,298,1YKR,TRANSFERASE,300,0.7329588916444404
8AK3,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,298,0.7331113872797778
6XYS,,602,7MDP,HYDROLASE/IMMUNE SYSTEM,537,0.734629971759835
6VFQ,,411,6SI1,DNA BINDING PROTEIN,425,0.7347456528413495
6TWA,,643,4YW9,LYASE,522,0.7348168720239777
7R5F,,296,5MHQ,CELL CYCLE/INHIBITOR,301,0.7349629334903871
6PYO,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,318,0.7349836897380763
8UQB,,356,5QQM,HYDROLASE/TRANSFERASE,408,0.7349885319763159
8DHH,,427,4IBY,DNA BINDING PROTEIN,367,0.7350336231410957
6S7F,,643,4YW9,LYASE,523,0.7351965565747818
8OIJ,,356,5QQM,HYDROLASE/TRANSFERASE,350,0.7352049894602567
7MFW,,172,8QUG,TRANSFERASE,191,0.7352853714559785
7UK2,,400,1KJZ,TRANSLATION,362,0.7356347818771143
8AK3,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,298,0.7359248361588223
8E8B,,400,1KJZ,TRANSLATION,436,0.7360170930846012
7Q4I,,643,4YW9,LYASE,569,0.7361265151900767
6LTK,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",208,0.7361763853223859
8AK2,,329,8JCA,PROTEIN BINDING,294,0.7361835616954403
7LG3,,441,8DGO,SIGNALING PROTEIN,394,0.7365339342831196
8SKI,,400,1KJZ,TRANSLATION,426,0.7365678369149842
7ULU,,483,5VBZ,HYDROLASE,550,0.7368402969886719
8HTC,,303,7ZPC,CELL CYCLE,290,0.7374993288555167
7XHK,,298,1YKR,TRANSFERASE,334,0.7379046059211587
8OIJ,,356,5QQL,HYDROLASE/TRANSFERASE,350,0.7382273896010213
7UAD,,292,2C6I,TRANSFERASE,277,0.7382318398320306
7E1T,,329,8JCA,PROTEIN BINDING,403,0.7383958113200415
6V7A,,400,1KJZ,TRANSLATION,357,0.7386670986621391
7CUY,,329,8JCA,PROTEIN BINDING,307,0.7390015974016514
6YUY,,329,8JCA,PROTEIN BINDING,360,0.7391949842785193
7MNU,,285,2R3K,TRANSFERASE,243,0.7400793000675614
7BJO,,303,7ZPC,CELL CYCLE,257,0.7401132766770887
7PRX,,292,2C6I,TRANSFERASE,267,0.7404300297012207
7SVB,,535,4EDW,IMMUNE SYSTEM,555,0.7405112288119737
8BOK,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,282,0.7406298187167983
8F1X,,279,1GII,TRANSFERASE,318,0.7406635634892437
8AK3,,279,1GII,TRANSFERASE,298,0.7408326963548059
7CIU,,356,5QQL,HYDROLASE/TRANSFERASE,415,0.7410351024394276
6PZS,,400,1KJZ,TRANSLATION,362,0.7410544782350468
6XJN,,400,1KJZ,TRANSLATION,417,0.7410922295680271
6PYO,,424,4RJL,TRANSLATION,318,0.7410985713449566
7R3O,,427,4IBY,DNA BINDING PROTEIN,395,0.7412781297761935
7CIX,,246,2H2D,HYDROLASE,216,0.7413962045373746
3K6J,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,431,0.7415520003590028
8F1X,,329,8JCA,PROTEIN BINDING,318,0.7417501657690125
7KVX,,179,1M7B,SIGNALING PROTEIN,181,0.7418898594266955
7ULU,,743,4TMX,TRANSLATION,550,0.7419103177358652
6X5Q,,303,7ZPC,CELL CYCLE,284,0.7419959149727654
7KVX,,183,1ZNY,TRANSFERASE,181,0.7421977305911981
6LTK,,180,2GCN,SIGNALING PROTEIN,208,0.7422270333736498
7UVE,,198,4LOF,APOPTOSIS,236,0.742353114657492
6VNV,,329,8JCA,PROTEIN BINDING,274,0.7426753084735274
6XZI,,285,2R3K,TRANSFERASE,247,0.7428122356116906
8OMK,,674,1RDY,HYDROLASE,600,0.7428782767794044
6TBN,,535,4EDW,IMMUNE SYSTEM,483,0.7430151917746995
8IIZ,,483,5VBZ,HYDROLASE,525,0.7431166755078025
7E1T,,399,4DHE,CELL CYCLE,403,0.7431790891963518
7WCW,,279,1GII,TRANSFERASE,300,0.743273070010915
8DHH,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,367,0.7433152664419634
7XHK,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,334,0.7433682438874087
7CIU,,356,5QQM,HYDROLASE/TRANSFERASE,415,0.7435083519659343
8G8O,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,558,0.7438067998677472
7JL7,,483,5VBZ,HYDROLASE,479,0.743827776705631
7KHG,,282,1KE8,TRANSFERASE,329,0.7438655816206229
7DB0,,457,7G8E,CYTOSOLIC PROTEIN,461,0.7440017323971834
8BOK,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,282,0.7443166890922523
8F1X,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,318,0.7445499208120312
7UAD,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,277,0.744799221644177
7AYV,,643,4YW9,LYASE,502,0.7450428696977274
7XVX,,400,1KJZ,TRANSLATION,366,0.7450650731195381
6ZUW,,329,8JCA,PROTEIN BINDING,287,0.7451989685435083
7ULU,,612,6IYB,TRANSPORT PROTEIN,550,0.7452859248022972
6GWQ,,483,5VBZ,HYDROLASE,475,0.7454753046669548
8ADD,,250,7VV8,CELL CYCLE,209,0.7454878100146274
7CIU,,424,4RJL,TRANSLATION,415,0.7455284001227269
6Y6E,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",238,0.7458180575579887
8BOK,,298,1YKR,TRANSFERASE,282,0.7459157735391498
7AYV,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,502,0.7461172512907129
7Q4I,,653,2FB3,LIGAND BINDING PROTEIN,569,0.7462564432541371
7R5F,,282,1KE8,TRANSFERASE,301,0.7466758212886832
6THV,,427,4IBY,DNA BINDING PROTEIN,381,0.7468761305326117
