PDB_ID,Function
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR
7VV8,CELL CYCLE
7DB2,TRANSFERASE
8OIJ,RNA BINDING PROTEIN
6KOJ,PROTEIN TRANSPORT
4L9S,SIGNALING PROTEIN
7BJS,TRANSPORT PROTEIN
7UVE,TRANSFERASE
4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR
4HB2,PROTEIN TRANSPORT
6XYS,HYDROLASE
1P2T,SIGNALING PROTEIN
6O5Z,TRANSFERASE/TRANSFERASE INHIBITOR
6V7A,HYDROLASE
7SVB,HYDROLASE/DNA
8C6A,FLAVOPROTEIN
6ELK,OXIDOREDUCTASE
7BO6,TRANSCRIPTION
7YFK,TRANSCRIPTION
6XZH,GENE REGULATION
5QQL,HYDROLASE/TRANSFERASE
1ZL9,TRANSFERASE
7DCJ,DNA BINDING PROTEIN/DNA
1YZG,TRANSPORT PROTEIN
6XZJ,GENE REGULATION
5X6Z,TRANSFERASE
3ZYC,HYDROLASE
7XVX,CYTOKINE
7CIW,TRANSFERASE
7JVO,TRANSPORT PROTEIN
7X15,LIPID TRANSPORT
7AB8,SIGNALING PROTEIN
8PZ7,TRANSCRIPTION
7CIU,TRANSFERASE
1D4X,CONTRACTILE PROTEIN
5UBR,TRANSFERASE/TRANSFERASE REGULATOR
5VBZ,HYDROLASE
3K6J,OXIDOREDUCTASE
6SLW,PEPTIDE BINDING PROTEIN
7POK,TRANSCRIPTION
8BJK,HYDROLASE
7YZ5,CELL CYCLE
6SIP,PEPTIDE BINDING PROTEIN
7RL3,"SIGNALING PROTEIN, TRANSFERASE"
6XZI,GENE REGULATION
3RZV,HYDROLASE
5JCP,"SIGNALING PROTEIN,HYDROLASE"
8DHH,OXIDOREDUCTASE/INHIBITOR
8DKT,CELL CYCLE
6Q9M,EXOCYTOSIS
8D7P,TRANSFERASE/CIRCADIAN CLOCK PROTEIN
7ZFX,TRANSCRIPTION
8DHU,RNA BINDING PROTEIN
8OGC,TRANSFERASE
3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE
6WSJ,HYDROLASE/HYDROLASE INHIBITOR
6PKH,HYDROLASE
8CKC,TRANSCRIPTION
8K71,OXIDOREDUCTASE
4GNL,LYASE
7AVU,PROTEIN BINDING
1KJZ,TRANSLATION
6XWV,CELL CYCLE
7LG3,IMMUNE SYSTEM/VIRAL PROTEIN
8CK5,TRANSCRIPTION
1YKR,TRANSFERASE
7MDP,HYDROLASE/IMMUNE SYSTEM
4MXO,TRANSFERASE/TRANSFERASE INHIBITOR
6LTK,CHAPERONE
7PO9,TRANSCRIPTION
2OP6,PEPTIDE BINDING PROTEIN
6Y6E,RNA BINDING PROTEIN
7AZT,LYASE
3U6B,TRANSLATION FACTOR/ANTIBIOTIC
4IBY,DNA BINDING PROTEIN
8QUG,TRANSFERASE
8C6F,FLAVOPROTEIN
5QQM,HYDROLASE/TRANSFERASE
5TC3,OXIDOREDUCTASE
6OS4,METAL BINDING PROTEIN
8DIO,RNA BINDING PROTEIN
6VNV,TRANSFERASE/INHIBITOR
6S7F,HYDROLASE
7E1T,PROTEIN TRANSPORT
6V4H,APOPTOSIS
7DOV,CYTOKINE
4LOF,APOPTOSIS
6XDB,TRANSFERASE/TRANSFERASE INHIBITOR
7UK2,METAL BINDING PROTEIN/INHIBITOR
7YB7,APOPTOSIS
7AZW,TRANSCRIPTION
6Z26,STRUCTURAL PROTEIN
1E3B,ISOMERASE
7XHK,HYDROLASE
8B8Z,TRANSCRIPTION
4RJL,TRANSLATION
3DOB,PROTEIN BINDING
1SVI,HYDROLASE
2R3K,TRANSFERASE
7PV5,RNA BINDING PROTEIN
6KCP,DNA BINDING PROTEIN/DNA
6VJ9,HYDROLASE/HYDROLASE INHIBITOR
8C69,FLAVOPROTEIN
7DAY,TRANSFERASE
7Y9C,TRANSFERASE
7DAX,TRANSFERASE
7OXZ,TRANSCRIPTION
6ULV,TRANSCRIPTION/INHIBITOR
7TGQ,ANTIVIRAL PROTEIN
7KP1,IMMUNE SYSTEM
6JLH,PROTEIN TRANSPORT
1CIP,HYDROLASE
7ME5,SIGNALING PROTEIN
1KE8,TRANSFERASE
7JW6,RNA BINDING PROTEIN
3N9P,OXIDOREDUCTASE
6JVR,HYDROLASE
1RDY,HYDROLASE
7ULF,LIGASE
7LZF,TRANSFERASE
6D5M,SIGNALING PROTEIN
6ZWB,CELL CYCLE
6X5Q,TRANSFERASE
8PBR,HYDROLASE
8BOK,TRANSFERASE
5TX4,TRANSFERASE/CYTOKINE
8DGO,SIGNALING PROTEIN
3RAH,TRANSFERASE/TRANSFERASE INHIBITOR
7ZC9,SIGNALING PROTEIN
6XZK,GENE REGULATION
2GCN,SIGNALING PROTEIN
1T4W,TRANSCRIPTION
3BFK,HYDROLASE
8D6F,"SIGNALING PROTEIN,"
4JND,HYDROLASE
4IRR,TRANSFERASE
4ZI2,HYDROLASE
