Target,Function Target,Number of Alpha Carbons in Target,Reference,Function Reference,Number of Alpha Carbons in Reference,Distance
7ULU,HYDROLASE,533,6WGN,SIGNALING PROTEIN/INHIBITOR,550,0.7029029918253376
8X72,TRANSFERASE,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7036757360803089
8D6F,"SIGNALING PROTEIN,",533,6WGN,SIGNALING PROTEIN/INHIBITOR,542,0.7044773452938229
6TFW,TRANSFERASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,530,0.7044959979518525
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,296,5MHQ,CELL CYCLE/INHIBITOR,300,0.7053305866317083
7BJO,TRANSFERASE,279,1GII,TRANSFERASE,257,0.7053614867137947
7MQY,CELL ADHESION,427,4IBY,DNA BINDING PROTEIN,370,0.7054139681073787
6LPH,PROTEIN BINDING,250,7VV8,CELL CYCLE,272,0.7056165670970563
7JL7,CELL CYCLE,535,4EDW,IMMUNE SYSTEM,479,0.7058342677615178
8BOK,TRANSFERASE,296,5MHQ,CELL CYCLE/INHIBITOR,282,0.7058932437564899
6UPR,STRUCTURAL PROTEIN,611,4GNL,LYASE,543,0.7066100196014604
1D4X,CONTRACTILE PROTEIN,535,4EDW,IMMUNE SYSTEM,492,0.7072650703020692
8X72,TRANSFERASE,298,1YKR,TRANSFERASE,294,0.7074347212052289
7R5F,RNA BINDING PROTEIN,292,7UG1,CELL CYCLE,301,0.7076712531926106
8X72,TRANSFERASE,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7083787435940375
8BOK,TRANSFERASE,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,282,0.708439588214444
6VNV,TRANSFERASE/INHIBITOR,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,274,0.7087812489893216
7YBX,TRANSFERASE/INHIBITOR,303,7ZPC,CELL CYCLE,300,0.7090006650281108
6O5Z,TRANSFERASE/TRANSFERASE INHIBITOR,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,531,0.7097460203030025
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR,303,7ZPC,CELL CYCLE,329,0.7097478868195791
8AK3,STRUCTURAL PROTEIN,282,1KE8,TRANSFERASE,298,0.7106067895290771
7UAD,SIGNALING PROTEIN/INHIBITOR,285,2R3K,TRANSFERASE,277,0.7107504218689217
7BJO,TRANSFERASE,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,257,0.7107856032052083
3N9Q,OXIDOREDUCTASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,496,0.7107994096647101
7YBX,TRANSFERASE/INHIBITOR,296,5MHQ,CELL CYCLE/INHIBITOR,300,0.7110025717725877
7UVE,TRANSFERASE,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",236,0.7111420395894914
6GWQ,HYDROLASE,424,4RJL,TRANSLATION,475,0.7111812741893538
7XHK,HYDROLASE,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,334,0.7112872788632261
8AK2,STRUCTURAL PROTEIN,298,1YKR,TRANSFERASE,294,0.7113575188880247
7YBX,TRANSFERASE/INHIBITOR,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,300,0.7115476113771524
6LTK,CHAPERONE,182,1SVI,HYDROLASE,208,0.7115852165463512
8AK2,STRUCTURAL PROTEIN,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7123390251196631
8BOK,TRANSFERASE,282,1KE8,TRANSFERASE,282,0.7125691849503523
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,329,0.7131091723767848
8SWE,ONCOPROTEIN,643,4YW9,LYASE,574,0.713152550948751
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,285,2R3K,TRANSFERASE,318,0.7133937546026818
7R5F,RNA BINDING PROTEIN,292,2C6I,TRANSFERASE,301,0.714516594410542
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR,292,2C6I,TRANSFERASE,329,0.714604967439626
6ZW1,HYDROLASE,400,1KJZ,TRANSLATION,380,0.7150349681953483
8AK3,STRUCTURAL PROTEIN,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,298,0.7160947314769587
7Y9C,TRANSFERASE,533,6WGN,SIGNALING PROTEIN/INHIBITOR,562,0.7161494565931655
8AK2,STRUCTURAL PROTEIN,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7165854601521477
8OMK,SUGAR BINDING PROTEIN,743,4TMX,TRANSLATION,600,0.71738828456243
6UPR,STRUCTURAL PROTEIN,643,4YW9,LYASE,543,0.7175218095586512
8AK2,STRUCTURAL PROTEIN,279,1GII,TRANSFERASE,294,0.7182577545173783
7SVB,HYDROLASE/DNA,643,4YW9,LYASE,555,0.718262041621541
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,300,0.7183064731375457
8FDX,LIGASE,246,2H2D,HYDROLASE,202,0.7183419807210043
8DKT,CELL CYCLE,533,6WGN,SIGNALING PROTEIN/INHIBITOR,526,0.7190629804787613
3N9P,OXIDOREDUCTASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,501,0.7200865346213975
7KVX,IMMUNE SYSTEM,168,3RSO,SIGNALING PROTEIN,181,0.720608646659525
7KVX,IMMUNE SYSTEM,161,4L9S,SIGNALING PROTEIN,181,0.7206693150923753
6WYP,HYDROLASE,400,1KJZ,TRANSLATION,358,0.7208804970900493
6GWQ,HYDROLASE,400,1KJZ,TRANSLATION,475,0.7212831242769707
8HTC,TRANSFERASE,282,1KE8,TRANSFERASE,290,0.7212925513837843
8HTC,TRANSFERASE,285,2R3K,TRANSFERASE,290,0.7214121654349427
8BOK,TRANSFERASE,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,282,0.7214348827355671
8G8O,TRANSFERASE/INHIBITOR,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,558,0.7215588937347955
6TWA,HYDROLASE,483,5VBZ,HYDROLASE,522,0.7216127272533969
7ULU,HYDROLASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,550,0.7218095714584223
7XHK,HYDROLASE,303,7ZPC,CELL CYCLE,334,0.7218406839425899
8HTC,TRANSFERASE,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,290,0.721868620984041
7Q4I,TRANSFERASE,611,4GNL,LYASE,569,0.7220858109848945
8FDY,TRANSFERASE,246,2H2D,HYDROLASE,201,0.722109819370583
8UQB,TRANSFERASE,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,408,0.722141172931475
3K6J,OXIDOREDUCTASE,483,5VBZ,HYDROLASE,431,0.7224573587389852
8AK2,STRUCTURAL PROTEIN,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7225447424740223
6S7F,HYDROLASE,483,5VBZ,HYDROLASE,523,0.7227957774510555
7YBX,TRANSFERASE/INHIBITOR,292,2C6I,TRANSFERASE,300,0.7233095038520022
7ZHH,RNA BINDING PROTEIN,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",222,0.7240584837440186
8OMK,SUGAR BINDING PROTEIN,602,7MDP,HYDROLASE/IMMUNE SYSTEM,600,0.7241527750399027
6THV,HYDROLASE,400,1KJZ,TRANSLATION,381,0.7244009036869659
7SVB,HYDROLASE/DNA,611,4GNL,LYASE,555,0.7244457837898153
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,318,0.7244829500277816
6TWA,HYDROLASE,611,4GNL,LYASE,522,0.7244931452900946
8SWE,ONCOPROTEIN,612,6IYB,TRANSPORT PROTEIN,574,0.7245221764478019
8BOK,TRANSFERASE,279,1GII,TRANSFERASE,282,0.7245900062315831
6LTK,CHAPERONE,198,4LOF,APOPTOSIS,208,0.7248213672485606
8AK2,STRUCTURAL PROTEIN,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,294,0.7249428626590183
8SO1,OXIDOREDUCTASE/SUBSTRATE,457,7G8E,CYTOSOLIC PROTEIN,470,0.725057589268934
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,292,2C6I,TRANSFERASE,300,0.7250589234841307
7UAD,SIGNALING PROTEIN/INHIBITOR,292,7UG1,CELL CYCLE,277,0.7259898223056788
6VNV,TRANSFERASE/INHIBITOR,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,274,0.7260838876378921
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,282,1KE8,TRANSFERASE,300,0.7261422401756156
8BJK,HYDROLASE,400,1KJZ,TRANSLATION,366,0.7262273099027886
7E1T,PROTEIN TRANSPORT,356,5QQM,HYDROLASE/TRANSFERASE,403,0.7262670884661783
8OMK,SUGAR BINDING PROTEIN,611,4GNL,LYASE,600,0.7265310120253872
7DAZ,TRANSFERASE,457,7G8E,CYTOSOLIC PROTEIN,457,0.7266508581078164
7E1T,PROTEIN TRANSPORT,400,1KJZ,TRANSLATION,403,0.7268477556895534
8OMK,SUGAR BINDING PROTEIN,612,6IYB,TRANSPORT PROTEIN,600,0.7269574308291341
7YBX,TRANSFERASE/INHIBITOR,282,1KE8,TRANSFERASE,300,0.7272644950942653
8OIJ,RNA BINDING PROTEIN,457,7G8E,CYTOSOLIC PROTEIN,350,0.7273118845317541
8SO1,OXIDOREDUCTASE/SUBSTRATE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,470,0.7274823359192676
7CUY,HYDROLASE,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,307,0.7275014360088937
8OMK,SUGAR BINDING PROTEIN,643,4YW9,LYASE,600,0.7275087246822792
6PGW,CELL ADHESION,308,6RVN,CELL CYCLE,427,0.7276578405299629
7YBX,TRANSFERASE/INHIBITOR,298,1YKR,TRANSFERASE,300,0.7277483376403096
6Y20,TRANSCRIPTION,399,4DHE,CELL CYCLE,495,0.7279630583453036
8AK2,STRUCTURAL PROTEIN,316,1CIP,HYDROLASE,294,0.7282335198938756
6S7Y,NEUROPEPTIDE,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,320,0.7284338283899822
8SWE,ONCOPROTEIN,611,4GNL,LYASE,574,0.7287109827871241
6Y6E,RNA BINDING PROTEIN,182,3RZV,HYDROLASE,238,0.7287221003712938
7TGQ,ANTIVIRAL PROTEIN,182,3RZV,HYDROLASE,182,0.7288618415806613
7XHK,HYDROLASE,292,7UG1,CELL CYCLE,334,0.7293185121196771
8PBR,HYDROLASE,400,1KJZ,TRANSLATION,370,0.7295034516417161
7R5F,RNA BINDING PROTEIN,298,1YKR,TRANSFERASE,301,0.7295077341610459
6VNV,TRANSFERASE/INHIBITOR,298,1YKR,TRANSFERASE,274,0.7296060996164803
8BOK,TRANSFERASE,292,2C6I,TRANSFERASE,282,0.7297336132280522
7E1T,PROTEIN TRANSPORT,356,5QQL,HYDROLASE/TRANSFERASE,403,0.7298130215793942
7XHK,HYDROLASE,296,5MHQ,CELL CYCLE/INHIBITOR,334,0.7298251368413081
1D4X,CONTRACTILE PROTEIN,424,4RJL,TRANSLATION,492,0.7298987964348688
6S7F,HYDROLASE,611,4GNL,LYASE,523,0.7299997199985813
7XHK,HYDROLASE,427,4IBY,DNA BINDING PROTEIN,334,0.7300921715851809
8AK3,STRUCTURAL PROTEIN,316,1CIP,HYDROLASE,298,0.7304376664986515
7NYQ,RNA BINDING PROTEIN,535,4EDW,IMMUNE SYSTEM,566,0.7305127665059283
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR,296,5MHQ,CELL CYCLE/INHIBITOR,329,0.7307954023783645
